snapshot_time,product_id,sellPrice,buyPrice,sellVolume,buyVolume,sellMovingWeek,buyMovingWeek,sellOrders,buyOrders
2025-04-28 18:24:02,ENCHANTMENT_TURBO_CACTUS_1,2.0,1197.1235294117646,142,753,6818,2495,1,117
2025-04-28 18:24:02,ENCHANTMENT_FIRE_ASPECT_3,10039.37841191067,80000.0,10658,950,4359,6211,134,99
2025-04-28 18:24:02,ENCHANTMENT_LAPIDARY_5,10950525.1,13449563.4,3,119,41,556,3,58
2025-04-28 18:24:02,ENCHANTMENT_ENDER_SLAYER_5,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_ENDER_SLAYER_4,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_ENDER_SLAYER_3,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_ENDER_SLAYER_2,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_ENDER_SLAYER_7,75776146.05000001,84014107.25,197,71,90,334,151,33
2025-04-28 18:24:02,ENCHANTMENT_ENDER_SLAYER_6,295602.5021052632,385307.40400000004,2915,2158,3181,5586,157,311
2025-04-28 18:24:02,ENCHANTMENT_SHARPNESS_1,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,DUNGEON_DECOY,13.3,166.55349841269842,249372,774080,505215,138984,4,294
2025-04-28 18:24:02,REFINED_TUNGSTEN,1395613.5869565217,1539412.1974358975,2801,1341,10650,13683,72,68
2025-04-28 18:24:02,ENCHANTMENT_SHARPNESS_5,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,JERRY_BOX_GOLDEN,971382.2,1186617.0012499997,4738,10715,337,3101,114,420
2025-04-28 18:24:02,ENCHANTMENT_SHARPNESS_4,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_SHARPNESS_3,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTMENT_SHARPNESS_2,0.0,0.0,0,0,0,0,0,0
