snapshot_time,product_id,pricePerUnit,amount,orders,tier_rank
2025-04-28 18:24:02,ENCHANTMENT_PROTECTION_6,0.2,32,1,29
2025-04-28 18:24:02,ESSENCE_DRAGON,3746.2,43857,1,0
2025-04-28 18:24:02,ESSENCE_DRAGON,3737.7,63893,1,1
2025-04-28 18:24:02,ESSENCE_DRAGON,3719.1,3052,1,2
2025-04-28 18:24:02,ESSENCE_DRAGON,3695.0,15000,2,3
2025-04-28 18:24:02,ESSENCE_DRAGON,3694.7,20440,1,4
2025-04-28 18:24:02,ESSENCE_DRAGON,3694.1,2392,1,5
2025-04-28 18:24:02,ESSENCE_DRAGON,3693.6,31948,1,6
2025-04-28 18:24:02,ESSENCE_DRAGON,3693.5,71252,1,7
2025-04-28 18:24:02,ESSENCE_DRAGON,3693.4,67957,1,8
2025-04-28 18:24:02,ESSENCE_DRAGON,3693.2,18403,1,9
2025-04-28 18:24:02,ESSENCE_DRAGON,3680.8,9000,1,10
2025-04-28 18:24:02,ESSENCE_DRAGON,3680.6,62727,1,11
2025-04-28 18:24:02,ESSENCE_DRAGON,3679.9,20080,1,12
2025-04-28 18:24:02,ESSENCE_DRAGON,3679.2,2668,1,13
2025-04-28 18:24:02,ESSENCE_DRAGON,3678.7,32000,1,14
2025-04-28 18:24:02,ESSENCE_DRAGON,3678.3,69273,1,15
2025-04-28 18:24:02,ESSENCE_DRAGON,3678.1,263,1,16
2025-04-28 18:24:02,ESSENCE_DRAGON,3678.0,500,1,17
2025-04-28 18:24:02,ESSENCE_DRAGON,3676.3,4482,1,18
2025-04-28 18:24:02,ESSENCE_DRAGON,3658.6,40983,1,19
2025-04-28 18:24:02,ESSENCE_DRAGON,3654.8,6660,1,20
2025-04-28 18:24:02,ESSENCE_DRAGON,3612.3,4244,1,21
2025-04-28 18:24:02,ESSENCE_DRAGON,3567.4,61964,1,22
2025-04-28 18:24:02,ESSENCE_DRAGON,3554.6,44409,1,23
2025-04-28 18:24:02,ESSENCE_DRAGON,3525.4,711,1,24
2025-04-28 18:24:02,ESSENCE_DRAGON,3525.2,414,1,25
2025-04-28 18:24:02,ESSENCE_DRAGON,3498.6,66194,1,26
2025-04-28 18:24:02,ESSENCE_DRAGON,3498.2,71680,1,27
2025-04-28 18:24:02,ESSENCE_DRAGON,3495.8,6113,1,28
2025-04-28 18:24:02,ESSENCE_DRAGON,3494.9,26524,1,29
2025-04-28 18:24:02,RITUAL_RESIDUE,2336320.2,10,1,0
2025-04-28 18:24:02,RITUAL_RESIDUE,2336320.1,4,1,1
2025-04-28 18:24:02,RITUAL_RESIDUE,2336320.0,2,1,2
2025-04-28 18:24:02,RITUAL_RESIDUE,2336319.9,98,1,3
2025-04-28 18:24:02,RITUAL_RESIDUE,2336319.8,4,1,4
2025-04-28 18:24:02,RITUAL_RESIDUE,2336319.7,179,2,5
2025-04-28 18:24:02,RITUAL_RESIDUE,2336319.6,13,1,6
2025-04-28 18:24:02,RITUAL_RESIDUE,2336319.4,3,2,7
2025-04-28 18:24:02,RITUAL_RESIDUE,2336319.3,8,1,8
2025-04-28 18:24:02,RITUAL_RESIDUE,2336319.2,1,1,9
2025-04-28 18:24:02,RITUAL_RESIDUE,2336319.1,1,1,10
2025-04-28 18:24:02,RITUAL_RESIDUE,2336317.6,8,1,11
2025-04-28 18:24:02,RITUAL_RESIDUE,2319180.6,9,1,12
2025-04-28 18:24:02,RITUAL_RESIDUE,2319179.7,2,1,13
2025-04-28 18:24:02,RITUAL_RESIDUE,2319179.5,17,1,14
2025-04-28 18:24:02,RITUAL_RESIDUE,2300001.3,7,1,15
2025-04-28 18:24:02,RITUAL_RESIDUE,2300000.0,36,1,16
2025-04-28 18:24:02,RITUAL_RESIDUE,2290752.2,46,1,17
2025-04-28 18:24:02,RITUAL_RESIDUE,2228702.6,12,1,18
2025-04-28 18:24:02,RITUAL_RESIDUE,2000000.0,144,6,19
2025-04-28 18:24:02,RITUAL_RESIDUE,1000000.0,4,4,20
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,836299.9,1,1,0
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,836299.8,2,1,1
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,836299.7,187,1,2
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,836299.6,265,1,3
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,836299.4,25,1,4
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,836298.9,468,1,5
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,832020.4,12,1,6
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,832018.6,8,1,7
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,832018.2,55,1,8
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,832018.1,1,1,9
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,829318.6,51,1,10
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,823489.9,38,1,11
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,813546.6,3,1,12
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,809874.8,647,1,13
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,806011.5,7,1,14
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,806010.6,4,3,15
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,806010.1,6,1,16
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,806010.0,8,1,17
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,801488.0,190,1,18
2025-04-28 18:24:02,GIANT_FRAGMENT_LASER,801487.6,8,1,19
